d_name,model_name,bias_mean,variance_mean,test_mse_mean,test_score_mean,n_subsamples_mean,subsample_ratio_mean,fit_time_mean,n_splits_mean,random_state_mean,test_size_mean,bias_std,variance_std,test_mse_std,test_score_std,n_subsamples_std,subsample_ratio_std,fit_time_std,n_splits_std,random_state_std,test_size_std
churn,EGB_XGB_GAM_CYCLIC_RANDOM_CYCLIC_RANDOM,0.13591019551680095,0.0006567506842521199,0.1365669462010531,0.841898525345622,5,0.5,166.85782413482667,5,42,1055,0.005159613084033399,0.00011596184624565764,0.005259923281868541,0.012775296654580796,0.0,0.0,7.094282159740373,0.0,0.0,0.0
churn,Spline,0.13521366139824753,0.0008940924572073842,0.13610775385545493,0.8423495852534562,5,0.5,1.265755844116211,5,42,1055,0.005064450810160529,0.00010805723798952624,0.005142973855006963,0.011740912189818742,0.0,0.0,0.03171845078434218,0.0,0.0,0.0
churn,XGB,0.13773363970404742,0.005617441516369582,0.14335108098363558,0.8284629493087557,5,0.5,0.38199505805969236,5,42,1055,0.005637140863610614,0.0005304997653328541,0.005934896318818266,0.014026660732405398,0.0,0.0,0.015265987853756647,0.0,0.0,0.0
compass,EBM_GA2M,0.20389497402846804,0.00069633955732662,0.20459131358579472,0.7428999317984054,5,0.5,5.710911083221435,5,42,926,0.00236765178060961,0.00011923971012121297,0.0023588936241135234,0.0069194298009945514,0.0,0.0,0.32638251836890225,0.0,0.0,0.0
compass,EBM_GAM,0.20480654969469564,0.00047313010250519996,0.20527967979720088,0.7413643141036192,5,0.5,3.826396656036377,5,42,926,0.002344346921995631,5.133585835090302e-05,0.002371645467331362,0.007336154850048307,0.0,0.0,0.457827953384991,0.0,0.0,0.0
compass,EGB_XGB_GA2M_BEST_FIT_BEST_FIT,0.20356063746593253,0.0005938195949971401,0.20415445706092972,0.7441593565532325,5,0.5,72.16307821273804,5,42,926,0.0023764475562441933,7.791701369796352e-05,0.002310092021583725,0.006722723191077155,0.0,0.0,8.074081296266952,0.0,0.0,0.0
compass,EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.20409811901600952,0.0005986372286274226,0.20469675624463696,0.7426690811598975,5,0.5,109.56324796676635,5,42,926,0.0023029009171704165,6.728424657432684e-05,0.002273394806653751,0.006568858821676881,0.0,0.0,6.0926776470512705,0.0,0.0,0.0
compass,EGB_XGB_GA2M_CYCLIC_CYCLIC,0.20418144630832313,0.0005618671628216,0.20474331347114472,0.7425947649396768,5,0.5,116.21176967620849,5,42,926,0.0023608502806231352,4.9597355712187813e-05,0.002349703792582527,0.006845869699193324,0.0,0.0,6.0821756338731605,0.0,0.0,0.0
compass,EGB_XGB_GA2M_CYCLIC_RANDOM_BEST_FIT,0.20412362788769434,0.00058857056318784,0.20471219845088226,0.7425669198748853,5,0.5,112.1775032043457,5,42,926,0.0023343055999551407,6.116801559461565e-05,0.002294935893985321,0.006716785825953897,0.0,0.0,4.225786253509125,0.0,0.0,0.0
compass,EGB_XGB_GA2M_CYCLIC_RANDOM_CYCLIC_RANDOM,0.20417194069544253,0.0005584530218775,0.20473039371732002,0.7427038874908869,5,0.5,118.27452721595765,5,42,926,0.002351938995572533,5.3736944436881655e-05,0.0023328084348023764,0.006742285866846527,0.0,0.0,7.006633572042489,0.0,0.0,0.0
