d_name,model_name,fit_time_mean,fit_trees_main_mean,fit_trees_inter_mean,test_score_mean,n_splits_mean,random_state_mean,test_size_mean,fit_time_std,fit_trees_main_std,fit_trees_inter_std,test_score_std,n_splits_std,random_state_std,test_size_std
churn,EGB_XGB_GAM_BEST_FIT_BEST_FIT,19.717255973815917,26527.4,0.0,0.8435907834101382,5,42,1055,1.7645893143750877,2283.8290873005362,0.0,0.012507117109973752,0.0,0.0,0.0
churn,EGB_XGB_GAM_CYCLIC_CYCLIC,43.18338580131531,60830.4,0.0,0.843458064516129,5,42,1055,5.972786521837183,8182.2320793289655,0.0,0.012903171432571366,0.0,0.0,0.0
churn,Spline,4.154770708084106,0.0,0.0,0.8447377880184332,5,42,1055,0.2615864852348704,0.0,0.0,0.010816202796925148,0.0,0.0,0.0
churn,XGB,0.10588889122009273,0.0,0.0,0.832510599078341,5,42,1055,0.018204185240694122,0.0,0.0,0.013480362375873911,0.0,0.0,0.0
compass,EBM_GA2M,2.2561595916748045,40460.2,15584.0,0.7450074081042308,5,42,926,0.15535205713809006,4803.156014538774,1294.863699390789,0.0061397054378205945,0.0,0.0,0.0
compass,EBM_GAM,1.5249855518341064,40460.2,0.0,0.7431137555560781,5,42,926,0.17420945846766178,4803.156014538774,0.0,0.00675874491022163,0.0,0.0,0.0
compass,EGB_XGB_GA2M_BEST_FIT_BEST_FIT,17.364092445373537,15200.2,11450.0,0.7462933609275417,5,42,926,3.0938564297061437,1717.6114810980976,2115.9336000924036,0.006602234978927601,0.0,0.0,0.0
compass,EGB_XGB_GA2M_CYCLIC_BEST_FIT,34.14776406288147,41789.2,13733.0,0.7446668704875238,5,42,926,2.4886694538251954,3837.196202958614,1797.728010573346,0.00659791944627068,0.0,0.0,0.0
compass,EGB_XGB_GA2M_CYCLIC_CYCLIC,35.00965061187744,42492.2,18183.8,0.7452294160532443,5,42,926,3.7518591361758844,4479.300693188614,1692.1553415688525,0.005653382292875903,0.0,0.0,0.0
compass,EGB_XGB_GAM_BEST_FIT_BEST_FIT,7.571418428421021,15200.2,0.0,0.7458088944286352,5,42,926,1.116650416106673,1717.6114810980976,0.0,0.007023511979265335,0.0,0.0,0.0
compass,EGB_XGB_GAM_CYCLIC_CYCLIC,19.326307010650634,41049.6,0.0,0.7438531549116907,5,42,926,2.201539441614157,3827.5870075022463,0.0,0.006882705983052102,0.0,0.0,0.0
compass,Spline,1.8350003719329835,0.0,0.0,0.7451927282989581,5,42,926,0.2694395790975786,0.0,0.0,0.006770583511186657,0.0,0.0,0.0
compass,XGB,0.07059502601623532,0.0,0.0,0.7382667387878931,5,42,926,0.03463939465791765,0.0,0.0,0.006689581575696105,0.0,0.0,0.0
concrete,EBM_GA2M,33.69581198692322,116411.2,170195.2,-3.8995685998954506,5,42,155,9.197282100997302,11350.186747362353,53114.88939271172,0.29810275476574033,0.0,0.0,0.0
concrete,EBM_GAM,1.846101665496826,116411.2,0.0,-4.876409889203512,5,42,155,0.15106811572963796,11350.186747362353,0.0,0.2355498270774794,0.0,0.0,0.0
concrete,Spline,2.4775328636169434,0.0,0.0,-5.135280514129081,5,42,155,0.13688087072717853,0.0,0.0,0.16207524059964376,0.0,0.0,0.0
concrete,XGB,0.17744755744934076,0.0,0.0,-4.333719872669879,5,42,155,0.07483948282061145,0.0,0.0,0.2924022552157475,0.0,0.0,0.0
fico,EBM_GA2M,13.813290405273438,214353.6,64864.0,-3.2500958858856164,5,42,1480,1.5204486122085883,14686.701903422701,21102.708072662143,0.07953505874643704,0.0,0.0,0.0
fico,EBM_GAM,8.35937180519104,214353.6,0.0,-3.511549074040907,5,42,1480,0.6282567397893906,14686.701903422701,0.0,0.0932042763348572,0.0,0.0,0.0
fico,EGB_XGB_GA2M_BEST_FIT_BEST_FIT,191.36792635917664,111078.4,67926.4,-3.2451768626287523,5,42,1480,22.78895286596466,9560.649366021116,13514.029240015725,0.0976483804488905,0.0,0.0,0.0
fico,EGB_XGB_GA2M_CYCLIC_BEST_FIT,319.83546419143676,218194.8,95292.0,-3.2409483062534923,5,42,1480,28.16200194243509,17209.305497317433,11371.823776334208,0.06392499786955894,0.0,0.0,0.0
fico,EGB_XGB_GA2M_CYCLIC_CYCLIC,310.6820784568787,221587.2,80731.0,-3.2397720926114992,5,42,1480,23.923791933851355,21607.714992566893,12439.314651539287,0.07749058043458776,0.0,0.0,0.0
fico,EGB_XGB_GAM_BEST_FIT_BEST_FIT,103.44572067260742,111078.4,0.0,-3.500323925236947,5,42,1480,10.998817554379311,9560.649366021116,0.0,0.09978898211870721,0.0,0.0,0.0
fico,EGB_XGB_GAM_CYCLIC_CYCLIC,198.30080389976501,220489.2,0.0,-3.510526208886246,5,42,1480,16.52755812947534,18042.304403817157,0.0,0.09102009399980633,0.0,0.0,0.0
fico,Spline,22.029503965377806,0.0,0.0,-3.5088310178667883,5,42,1480,0.3191722890566895,0.0,0.0,0.09293358312153326,0.0,0.0,0.0
fico,XGB,0.23745512962341303,0.0,0.0,-3.2191685033442488,5,42,1480,0.03373899312666633,0.0,0.0,0.0458262768419016,0.0,0.0,0.0
heart,Spline,2.862260675430298,0.0,0.0,0.8586666666666666,5,42,46,0.19242250690422652,0.0,0.0,0.040527138803422014,0.0,0.0,0.0
heart,XGB,0.0350115299224853,0.0,0.0,0.8217142857142857,5,42,46,0.007568693019591146,0.0,0.0,0.035979333952358354,0.0,0.0,0.0
student,Spline,3.943616437911987,0.0,0.0,-2.8465266379155523,5,42,98,0.4892865005716216,0.0,0.0,0.15280968572073866,0.0,0.0,0.0
student,XGB,0.0490697383880615,0.0,0.0,-3.015413493816834,5,42,98,0.006947956822400447,0.0,0.0,0.31029783827301877,0.0,0.0,0.0
support2,EBM_GA2M,7.617208671569824,57141.6,17235.2,0.8265815859404659,5,42,1366,0.6525924602526254,4272.09472039186,1874.1662679709073,0.014615216834435875,0.0,0.0,0.0
support2,EBM_GAM,3.217457485198975,57141.6,0.0,0.817666532681271,5,42,1366,0.2298952549326447,4272.09472039186,0.0,0.015630393087581414,0.0,0.0,0.0
support2,EGB_XGB_GA2M_BEST_FIT_BEST_FIT,81.39482350349427,37106.2,23758.4,0.8242692213215428,5,42,1366,8.496344992195898,2307.4276153327105,1924.9852726709362,0.015591011663763199,0.0,0.0,0.0
support2,EGB_XGB_GA2M_CYCLIC_BEST_FIT,103.9668788433075,70992.0,21888.0,0.8231727741676156,5,42,1366,7.578502311976929,5307.735392801718,2571.84243296513,0.016103215019158245,0.0,0.0,0.0
support2,EGB_XGB_GA2M_CYCLIC_CYCLIC,104.92924103736877,71182.6,22148.6,0.8238097630691588,5,42,1366,7.134765239520965,5509.488660483838,2609.7782089671914,0.017027447443130245,0.0,0.0,0.0
support2,EGB_XGB_GAM_BEST_FIT_BEST_FIT,42.482087469100954,37146.2,0.0,0.8195903396529778,5,42,1366,4.618593074053722,2460.9901868963234,0.0,0.01468481120508664,0.0,0.0,0.0
