model_name,bias,variance,test_mse,test_score,n_subsamples,subsample_ratio,fit_time,d_name,split_idx,n_splits,random_state,test_size
EBM_GAM,9901.501852509797,81.84402003260902,9983.345872542404,-99.91655205272772,5,0.5,33.813130140304565,bike,3,5,42,2607
EBM_GAM,9267.377552198555,80.57913965127645,9347.956691849831,-96.68471929127944,5,0.5,32.972047567367554,bike,4,5,42,2607
EBM_GAM,0.1400144252647192,0.000568091882691,0.1405825171474103,0.8362198156682028,5,0.5,5.425686597824097,churn,0,5,42,1055
EBM_GAM,0.1413361747482202,0.0005766330966617,0.1419128078448819,0.8276350230414746,5,0.5,4.988428831100464,churn,1,5,42,1055
EBM_GAM,0.139380292295121,0.0005479683951444,0.1399282606902655,0.8299433179723502,5,0.5,4.77589750289917,churn,2,5,42,1055
EBM_GAM,0.1309616648793576,0.0004748849575754,0.1314365498369331,0.8558930875576036,5,0.5,5.292246341705322,churn,3,5,42,1055
EBM_GAM,0.1307917207441874,0.0004985585086301,0.1312902792528175,0.8530027649769585,5,0.5,4.799437046051025,churn,4,5,42,1055
EBM_GAM,0.5156890956456053,0.0090017170247314,0.5246908126703368,-0.724339427927837,5,0.5,3.1565160751342773,wine,0,5,42,735
EBM_GAM,0.4877339109224568,0.0089570198084945,0.4966909307309514,-0.7047326315788865,5,0.5,3.1625075340271,wine,1,5,42,735
EBM_GAM,0.5356251433003666,0.0086749092404047,0.5443000525407713,-0.7377660997555872,5,0.5,3.325746774673462,wine,2,5,42,735
EBM_GAM,0.5107481112602319,0.0113076254433665,0.5220557367035984,-0.722528171920868,5,0.5,3.640827894210816,wine,3,5,42,735
EBM_GAM,0.5293054534540793,0.0086014917556707,0.5379069452097499,-0.7334142392289774,5,0.5,3.483587741851806,wine,4,5,42,735
EBM_GAM,0.0863974319415577,0.0006920184047907,0.0870894503463485,0.9297564024261632,5,0.5,73.79692935943604,adult,0,5,42,4885
EBM_GAM,0.0899710019500011,0.0006686134024809,0.090639615352482,0.9253360551554136,5,0.5,76.16159510612488,adult,1,5,42,4885
EBM_GAM,0.0869530170087086,0.0007594217420973,0.0877124387508059,0.9323170060690764,5,0.5,62.636340618133545,adult,2,5,42,4885
EBM_GAM,0.0895049393860958,0.0006047136180898,0.0901096530041856,0.9247900858914612,5,0.5,64.19002223014832,adult,3,5,42,4885
EBM_GAM,0.0915039001027401,0.0007073932308955,0.0922112933336357,0.9231217318418335,5,0.5,73.80504083633423,adult,4,5,42,4885
EBM_GA2M,0.0338919552934033,0.0037184179620279,0.0376103732554312,0.993402777777778,5,0.5,44.51084995269776,breast,0,5,42,86
EBM_GA2M,0.0539715734095501,0.0111447513165217,0.0651163247260719,0.9847222222222222,5,0.5,43.69197821617127,breast,1,5,42,86
EBM_GA2M,0.0273667513156102,0.0056993758463076,0.0330661271619178,0.990625,5,0.5,44.69439673423767,breast,2,5,42,86
EBM_GA2M,0.0525690052066613,0.0090000335618714,0.0615690387685327,0.9824074074074074,5,0.5,44.38131785392761,breast,3,5,42,86
