,param_index,SCONE_QUEUES,SCONE_SLOTS,SCONE_SSPINS,SCONE_SSLEEP,throughput,latency,failed,time,param_iter
631,176,1,1829,770,3301,5589.402492873512,163.03740161402808,0.0,17891.0,0
632,176,1,1829,770,3301,5480.352934728997,159.16517580196515,0.0,18247.0,3
633,177,1,479,1393,315,6148.927012236365,138.4024252679075,0.0,16263.0,1
634,177,1,479,1393,315,5813.953488372093,145.30785152751517,0.0,17200.0,3
635,177,1,479,1393,315,6238.303181534623,136.40100647593079,0.0,16030.0,0
636,177,1,479,1393,315,6092.731371473832,142.34432836718733,0.0,16413.0,4
637,177,1,479,1393,315,6060.606060606061,135.5369050954649,0.0,16500.0,2
638,178,5,1439,443,2765,3331.112591605596,277.8039058427237,0.0,30020.0,1
639,178,5,1439,443,2765,3261.5786040443577,294.76128192288434,0.0,30660.0,2
640,178,5,1439,443,2765,3530.82409434362,273.2005233301374,0.0,28322.0,0
641,178,5,1439,443,2765,3588.473822083468,266.8439459188783,0.0,27867.0,4
642,178,5,1439,443,2765,3480.3187972018236,278.3640504205038,0.0,28733.0,3
643,179,7,959,918,1540,4067.355405515334,224.1663103634293,0.0,24586.0,2
644,179,7,959,918,1540,4132.231404958678,220.87506028938907,0.0,24200.0,0
645,179,7,959,918,1540,3726.476616359232,229.9314918447414,0.0,26835.0,3
646,179,7,959,918,1540,3713.468751160459,243.29136123040047,0.0,26929.0,4
647,179,7,959,918,1540,3948.1996209728363,227.07006420545747,0.0,25328.0,1
648,180,3,1919,1868,3990,5093.465084296847,174.41987650099563,0.0,19633.0,0
649,180,3,1919,1868,3990,5131.889561736632,178.41171776815816,0.0,19486.0,4
650,180,3,1919,1868,3990,5113.520147269381,170.65219049913665,0.0,19556.0,1
651,180,3,1919,1868,3990,5054.845068998635,179.44930146911653,0.0,19783.0,3
652,180,3,1919,1868,3990,4923.682914820286,179.17665029351863,0.0,20310.0,2
653,181,4,719,206,928,3987.3998165796083,230.39603330749816,0.0,25079.0,3
654,181,4,719,206,928,4241.421724562073,217.19333306766558,0.0,23577.0,4
655,181,4,719,206,928,4178.8549937317175,217.67781380083252,0.0,23930.0,2
656,181,4,719,206,928,4071.163945772096,226.08515061264467,0.0,24563.0,0
657,181,4,719,206,928,4301.260269258893,215.5753764322422,0.0,23249.0,1
658,182,8,1679,1156,3378,3345.376689415228,270.1369590549283,0.0,29892.0,3
659,182,8,1679,1156,3378,3118.470701967755,274.4906406115202,0.0,32067.0,4
660,182,8,1679,1156,3378,3404.7189404514656,267.8374655096573,0.0,29371.0,0
661,182,8,1679,1156,3378,3528.3325100557477,260.78733113179226,0.0,28342.0,1
662,182,8,1679,1156,3378,3419.972640218878,258.282889200561,0.0,29240.0,2
663,183,6,239,1631,2153,4622.781065088758,187.68793859649122,0.0,21632.0,4
664,183,6,239,1631,2153,4609.569466211856,191.1095551071778,0.0,21694.0,0
665,183,6,239,1631,2153,4274.234911950761,206.95451638689048,0.0,23396.0,3
666,183,6,239,1631,2153,4666.5733351999625,187.87144455097476,0.0,21429.0,2
667,183,6,239,1631,2153,4559.33980759586,188.98612776844968,0.0,21933.0,1
668,184,2,1199,681,4603,49.873147648954884,283.5212680218501,38893.0,2005087.0,1
669,184,2,1199,681,4603,4268.032437046521,220.5317263662854,0.0,23430.0,0
670,185,3,1079,1987,3684,39.58115224692306,2019.034881034881,45881.0,2526455.0,0
671,186,6,2039,1037,1234,49.196716020812175,4481.289052578105,46089.0,2032656.0,0
672,187,8,599,562,4909,65.42841215712241,3461.585142089953,45338.0,1528388.0,0
673,188,4,1559,1512,2459,65.02090096861636,2874.3683189275002,44394.0,1537967.0,0
674,189,4,359,800,3072,96.86233827621845,741.9126872911502,40759.0,1032393.0,0
675,190,7,1319,1750,622,189.5159761967934,346.8798305982001,25619.0,527660.0,0
676,191,5,839,1275,4297,3992.653517527749,225.98196292823081,0.0,25046.0,4
677,191,5,839,1275,4297,3846.893633391037,242.1961573282366,0.0,25995.0,1
678,191,5,839,1275,4297,3956.009177941293,230.3386002713271,0.0,25278.0,0
679,191,5,839,1275,4297,3950.3831871691555,228.64610975267567,0.0,25314.0,2
680,191,5,839,1275,4297,3970.3021399928534,229.2164496970424,0.0,25187.0,3
681,192,2,1799,325,1847,4463.687898942106,205.81490658407432,0.0,22403.0,1
682,192,2,1799,325,1847,4658.963846440552,197.46312466281694,0.0,21464.0,4
683,192,2,1799,325,1847,2906.9767441860463,363.00098186554453,0.0,34400.0,0
684,192,2,1799,325,1847,4606.384448846101,203.81070956368444,0.0,21709.0,2
685,192,2,1799,325,1847,4147.140546593124,217.02203790519692,0.0,24113.0,3
686,193,2,779,978,2000,5624.613307835087,156.4796707458046,0.0,17779.0,3
687,193,2,779,978,2000,5509.945451540029,159.0587139423077,0.0,18149.0,2
688,193,2,779,978,2000,5520.591807441758,154.76157009942898,0.0,18114.0,0
689,193,2,779,978,2000,5787.706910522051,150.27061208921367,0.0,17278.0,4
690,193,2,779,978,2000,5430.060816681147,166.9883145888171,0.0,18416.0,1
691,194,5,1739,1928,4450,3733.7116827838554,246.9568255753243,0.0,26783.0,1
